PARTICIPANT,AGE OF ACQUISITION,PROFICIENCY GROUP,PROFICIENCY TEST SCORE,FPZ,CPZ,FP2,F7,FC4,CP3,P4,O1,FZ,PZ,C4,F4,FT8,TP7,T6,O2,FCZ,FP1,F3,F8,C3,CP4,P3,OZ,CZ,FC3,FT7,T4,T3,TP6,T5
1,15,ADVANCED,45,2.808165073,9.523091316,2.465588331,1.825734019,8.318771362,8.262260437,7.780792713,6.766778469,7.572213173,9.363103867,8.048501015,6.929841042,3.545643806,3.490605593,3.375500441,6.851036072,9.549841881,2.324849844,5.990418434,1.923488736,7.429797173,7.560611725,8.8612957,6.705820084,9.293377876,6.745583057,3.254457235,1.851107717,3.158872843,2.227612734,4.445045471
2,21,ADVANCED,45,0.972117007,6.59305048,2.265929461,-2.222158194,6.062726974,4.498276711,6.912849903,4.928199291,3.222205877,7.28057003,6.412103176,5.070711613,4.919979095,0.1548419,4.231686592,5.329283237,4.626664162,-0.454415232,1.179059505,4.539871693,3.372032166,6.400119305,5.527582169,5.287379742,5.795564175,1.569218516,-2.038125515,4.328591347,-0.911109924,4.748704433,1.720567584
3,15,ADVANCED,45,2.847732067,7.150278091,1.359146714,-3.079074144,6.584856033,4.334768295,7.006191254,2.604288816,6.452152729,7.33582449,7.093271732,7.788846493,2.045534134,0.159018233,3.658225298,4.665902138,7.971625328,1.234147549,3.937656403,2.007163048,4.709672451,6.574368,5.198083878,3.467621565,7.846758842,4.182282448,-1.828977585,2.475321054,0.331211209,3.331706762,-0.520224571
4,12,ADVANCED,48,0.140631989,6.671444893,-1.888300657,3.493540049,5.16609478,8.130643845,7.779336452,5.295400143,3.75761199,8.906633377,6.032824039,4.427477837,3.849486589,5.496006966,5.283076763,5.614655972,3.661701679,-1.962779284,4.254069805,2.488975048,7.311062336,6.941467285,8.627711296,5.182867527,5.455859184,6.093058586,3.771951199,4.100340843,4.145472527,4.942480087,5.863275051
5,13,ADVANCED,46,-2.075700045,8.029414177,-3.578349829,-1.774502277,3.488428831,7.474040508,8.348690987,6.587780952,2.859658718,8.474005699,5.420903206,1.110258579,-1.213969946,4.834076881,6.011505127,7.153234482,5.882203579,-2.241844177,2.703505993,-2.678842068,6.283559322,7.128464222,8.22500515,6.121050835,7.235122681,5.288488388,0.904339135,-0.488650084,2.490047216,2.558071375,5.450226784
6,17,ADVANCED,40,-0.883769989,-2.298504353,-3.213744879,-2.233986139,1.91294086,-1.783043385,-1.970247984,-3.806549549,2.246862173,-2.021784544,0.132478416,1.534523487,1.935320973,1.741560698,-0.413334429,-4.434358597,2.172827244,-2.725006819,-0.239564151,2.179115057,-1.762682199,-2.093179941,-1.34495604,-4.783348083,-0.276222557,-0.711550772,1.010879874,1.082736373,1.721541524,-0.118705951,0.321994334
7,13,ADVANCED,46,1.505044341,1.750717282,-1.490164042,1.756670117,1.496604323,2.7633214,0.797001541,-0.236512348,2.860200882,1.396472931,1.399297357,0.741523921,-0.06155302,2.021402597,0.307499498,-1.067983866,2.080526352,1.00635457,1.939424872,-0.586450994,2.92351675,1.151842594,2.05436039,-0.805448472,3.143639803,2.541711092,2.044651985,0.408613384,2.160182238,1.016545653,1.085997462
8,11,ADVANCED,42,1.593384862,9.108178139,1.317409873,1.170216084,5.636561394,7.772726536,6.806711674,4.147840977,5.785375118,8.731969833,6.728595257,3.774593592,1.671812296,2.848537207,3.399762154,4.392490387,9.525220871,1.518937826,4.954541683,1.054751754,7.419218063,6.679428577,7.678001881,3.694995165,9.751357079,5.451855659,1.2215904,1.964264631,1.702787757,2.82855916,3.42034483
9,22,ADVANCED,50,-14.80529022,7.756120682,-16.6074791,-10.89338017,1.220777631,7.362384796,11.80328369,8.353301048,-3.366957664,11.46590519,5.559047222,-3.287286758,2.050976753,5.360927582,8.783744812,9.855093002,1.700278521,-17.57142448,-4.901633739,-0.831726909,3.565331459,9.094293594,9.670974731,8.541186333,4.546070099,-0.21139586,-2.523622036,3.700311661,1.117562532,6.118256569,6.526726246
10,18,ADVANCED,40,-8.098232269,7.929459095,-6.902000427,-6.805214405,3.247294426,7.070649624,7.283385754,6.309269905,-0.645256996,9.027905464,5.247179508,0.714377522,2.42668128,3.061938763,4.114550591,6.064188004,3.765075207,-9.523514748,-2.703700066,1.326008081,4.941013336,6.378156662,8.674986839,6.020227909,6.097465038,1.600685239,-1.532018304,2.850285769,1.168156505,4.037065983,5.452473164
